"zone","acres","sqft","yearbuilt","bedrooms","bathrooms","halfbaths","multibuilding","style","saledate1","saleprice1","saledate2","saleprice2","saledate3","saleprice3","saledate4","saleprice4","saledate5","saleprice5"
"BA",0.24,1082,1965,3,1,1,FALSE,"Raised Ranch","1998",97000,"1986",112000,NA,NA,NA,NA,NA,NA
"BA",0.61,2014,1986,0,0,0,TRUE,"Fast Fd Chn","2005",525000,"2002",220000,"1989",2e+05,NA,NA,NA,NA
"BA",0.39,3400,1986,0,0,0,FALSE,"Retail&lt;10th sf","2014",310000,"1993",85000,NA,NA,NA,NA,NA,NA
"BA",0.25,6453,1987,0,0,0,FALSE,"Service Garage","2000",0,"1993",0,"1989",8e+05,NA,NA,NA,NA
"BA",0.37,0,NA,0,0,0,FALSE,"Vacant Land","2011",0,"1999",2e+05,"1988",225000,NA,NA,NA,NA
"BA",0.74,4613,1976,0,0,0,FALSE,"Restaurant","2014",0,"2003",147000,"1987",450000,NA,NA,NA,NA
"BA",0.34,1584,1925,3,2,0,FALSE,"Colonial","2016",179000,"2014",0,"2014",75000,"1980",0,NA,NA
"BA",0.49,9936,1986,0,0,0,FALSE,"Mix Ret Apt","2003",425000,"1997",0,"1993",0,NA,NA,NA,NA
"BA",0,1176,1975,2,1,1,FALSE,"Condominium","2014",65000,"2014",0,"2009",0,"2003",0,"2001",0
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","2012",53000,"2012",0,"1986",62000,NA,NA,NA,NA
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","2007",0,"2000",67000,"2000",69000,"2000",28000,"1999",0
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","2016",0,"2016",57000,"2000",69000,"1998",30000,"1998",0
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","2013",0,"2004",110000,"1995",0,"1986",78500,NA,NA
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","2015",0,"2003",0,"2003",82500,"1990",0,NA,NA
"BA",0,1124,1975,2,1,1,FALSE,"Condominium","1989",86000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0,1176,1975,2,1,1,FALSE,"Condominium","2012",55000,"2012",0,"2003",70000,"1989",90500,NA,NA
"BA",0.12,3182,1926,6,3,0,FALSE,"3 Family","2003",0,"2002",0,"2002",125000,NA,0,NA,NA
"BA",0.19,3349,1930,6,3,0,FALSE,"3 Family","2011",127000,"2011",0,"2005",279000,"1968",0,NA,NA
"BA",0.37,12952,1945,0,0,0,FALSE,"Whse/Office","2004",325000,"2003",253371,"1970",0,NA,NA,NA,NA
"BA",0.13,2968,1935,6,3,0,FALSE,"3 Family","2002",45000,"1993",0,NA,NA,NA,NA,NA,NA
"BA",0.13,3210,1926,6,3,0,FALSE,"3 Family","2014",105000,"2013",0,"1997",0,NA,NA,NA,NA
"BA",0.13,2965,1930,6,3,0,FALSE,"3 Family","2013",0,"2007",272000,"2000",94043,"1992",124000,NA,NA
"BA",0.39,6883,1960,0,0,0,FALSE,"Nursing (SNF)","2013",515000,"2011",0,"1988",525000,NA,NA,NA,NA
"BA",0.46,2426,1955,0,0,0,FALSE,"Service Garage","1995",250000,NA,NA,NA,NA,NA,NA,NA,NA
"BA",0.31,3368,1900,6,3,0,FALSE,"3 Family","1997",92500,"1982",0,NA,NA,NA,NA,NA,NA
"BA",0.17,3422,1920,6,3,0,FALSE,"3 Family","2008",0,"2003",0,"2002",155000,"2002",107872,"2002",105000
"BA",0.17,1488,1920,3,1,1,FALSE,"Colonial","2012",37000,"2012",0,"2000",0,"2000",81000,"1999",0
"BA",0.17,0,NA,0,0,0,FALSE,"Vacant Land","2002",125000,"2000",0,"2000",0,"1999",0,"1994",0
"BA",0.17,1800,1900,2,1,0,TRUE,"Churches","2002",125000,"2000",0,"2000",0,"1999",0,"1994",0
"BA",0.42,0,NA,0,0,0,FALSE,"Outbuildings","2017",0,"2015",0,"2015",15000,"2014",0,"2005",150000
"BA",0.75,18097,1900,0,0,0,FALSE,"Apt 1-7 st","2017",0,"2015",0,"2015",15000,"2014",0,"2003",575000
"BA",0.27,0,NA,0,0,0,FALSE,"Outbuildings","2017",0,"2015",0,"2015",15000,"2014",0,"2003",575000
"BA",0.34,15778,1925,0,0,0,FALSE,"Industrial","2017",0,"2017",0,"2017",0,"2017",0,"2015",230000
"BA",0.8,15850,1997,0,0,0,FALSE,"Apt 1-7 st","2012",0,"1996",175000,NA,NA,NA,NA,NA,NA
"BA",0.25,3204,1900,5,3,0,FALSE,"3 Family","2001",130000,"2001",130000,"1989",0,NA,NA,NA,NA
"BA",0.26,1796,1900,3,1,1,FALSE,"Colonial","2006",0,"1995",60000,NA,NA,NA,NA,NA,NA
"BA",0.27,2989,1920,5,5,0,FALSE,"Apt House","2006",3e+05,"1990",0,NA,NA,NA,NA,NA,NA
"BA",0.16,2756,1920,2,2,0,FALSE,"Mix Ret Apt","2016",125000,"2015",0,"2004",165000,"1994",80000,"1982",0
"BA",0.23,0,NA,0,0,0,FALSE,"Vacant Land","2005",0,"1998",345000,"1989",4e+05,NA,NA,NA,NA
"BA",0.31,3104,1900,6,3,0,FALSE,"Duplex","2005",347000,"1998",345000,"1989",4e+05,NA,NA,NA,NA
"BA",0.15,0,NA,0,0,0,FALSE,"Outbuildings","2010",415000,"1992",0,NA,NA,NA,NA,NA,NA
